INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID1', '익명작성자1', '익명타이틀1', '익명게시판본문1', 11, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID31', '익명작성자31', '익명타이틀31', '익명게시판본문31', 3131, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID32', '익명작성자32', '익명타이틀32', '익명게시판본문32', 3232, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID33', '익명작성자33', '익명타이틀33', '익명게시판본문33', 3333, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID34', '익명작성자34', '익명타이틀34', '익명게시판본문34', 3434, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID35', '익명작성자35', '익명타이틀35', '익명게시판본문35', 3535, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID36', '익명작성자36', '익명타이틀36', '익명게시판본문36', 3636, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID37', '익명작성자37', '익명타이틀37', '익명게시판본문37', 3737, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID38', '익명작성자38', '익명타이틀38', '익명게시판본문38', 3838, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID39', '익명작성자39', '익명타이틀39', '익명게시판본문39', 3939, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID40', '익명작성자40', '익명타이틀40', '익명게시판본문40', 4040, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID41', '익명작성자41', '익명타이틀41', '익명게시판본문41', 4141, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID42', '익명작성자42', '익명타이틀42', '익명게시판본문42', 4242, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID43', '익명작성자43', '익명타이틀43', '익명게시판본문43', 4343, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID44', '익명작성자44', '익명타이틀44', '익명게시판본문44', 4444, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID45', '익명작성자45', '익명타이틀45', '익명게시판본문45', 4545, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID46', '익명작성자46', '익명타이틀46', '익명게시판본문46', 4646, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID47', '익명작성자47', '익명타이틀47', '익명게시판본문47', 4747, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID48', '익명작성자48', '익명타이틀48', '익명게시판본문48', 4848, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID49', '익명작성자49', '익명타이틀49', '익명게시판본문49', 4949, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID50', '익명작성자50', '익명타이틀50', '익명게시판본문50', 5050, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID51', '익명작성자51', '익명타이틀51', '익명게시판본문51', 5151, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID52', '익명작성자52', '익명타이틀52', '익명게시판본문52', 5252, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID53', '익명작성자53', '익명타이틀53', '익명게시판본문53', 5353, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID54', '익명작성자54', '익명타이틀54', '익명게시판본문54', 5454, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID55', '익명작성자55', '익명타이틀55', '익명게시판본문55', 5555, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID56', '익명작성자56', '익명타이틀56', '익명게시판본문56', 5656, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID57', '익명작성자57', '익명타이틀57', '익명게시판본문57', 5757, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID58', '익명작성자58', '익명타이틀58', '익명게시판본문58', 5858, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID59', '익명작성자59', '익명타이틀59', '익명게시판본문59', 5959, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID60', '익명작성자60', '익명타이틀60', '익명게시판본문60', 6060, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID61', '익명작성자61', '익명타이틀61', '익명게시판본문61', 6161, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID62', '익명작성자62', '익명타이틀62', '익명게시판본문62', 6262, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID63', '익명작성자63', '익명타이틀63', '익명게시판본문63', 6363, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID64', '익명작성자64', '익명타이틀64', '익명게시판본문64', 6464, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID65', '익명작성자65', '익명타이틀65', '익명게시판본문65', 6565, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID66', '익명작성자66', '익명타이틀66', '익명게시판본문66', 6666, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID67', '익명작성자67', '익명타이틀67', '익명게시판본문67', 6767, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID68', '익명작성자68', '익명타이틀68', '익명게시판본문68', 6868, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID69', '익명작성자69', '익명타이틀69', '익명게시판본문69', 6969, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID70', '익명작성자70', '익명타이틀70', '익명게시판본문70', 7070, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID71', '익명작성자71', '익명타이틀71', '익명게시판본문71', 7171, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID72', '익명작성자72', '익명타이틀72', '익명게시판본문72', 7272, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID73', '익명작성자73', '익명타이틀73', '익명게시판본문73', 7373, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID74', '익명작성자74', '익명타이틀74', '익명게시판본문74', 7474, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID75', '익명작성자75', '익명타이틀75', '익명게시판본문75', 7575, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID76', '익명작성자76', '익명타이틀76', '익명게시판본문76', 7676, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID77', '익명작성자77', '익명타이틀77', '익명게시판본문77', 7777, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID78', '익명작성자78', '익명타이틀78', '익명게시판본문78', 7878, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID79', '익명작성자79', '익명타이틀79', '익명게시판본문79', 7979, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID80', '익명작성자80', '익명타이틀80', '익명게시판본문80', 8080, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID81', '익명작성자81', '익명타이틀81', '익명게시판본문81', 8181, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID82', '익명작성자82', '익명타이틀82', '익명게시판본문82', 8282, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID83', '익명작성자83', '익명타이틀83', '익명게시판본문83', 8383, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID84', '익명작성자84', '익명타이틀84', '익명게시판본문84', 8484, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID85', '익명작성자85', '익명타이틀85', '익명게시판본문85', 8585, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID86', '익명작성자86', '익명타이틀86', '익명게시판본문86', 8686, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID87', '익명작성자87', '익명타이틀87', '익명게시판본문87', 8787, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID88', '익명작성자88', '익명타이틀88', '익명게시판본문88', 8888, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID89', '익명작성자89', '익명타이틀89', '익명게시판본문89', 8989, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID90', '익명작성자90', '익명타이틀90', '익명게시판본문90', 9090, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID91', '익명작성자91', '익명타이틀91', '익명게시판본문91', 9191, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID92', '익명작성자92', '익명타이틀92', '익명게시판본문92', 9292, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID93', '익명작성자93', '익명타이틀93', '익명게시판본문93', 9393, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID94', '익명작성자94', '익명타이틀94', '익명게시판본문94', 9494, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID95', '익명작성자95', '익명타이틀95', '익명게시판본문95', 9595, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID96', '익명작성자96', '익명타이틀96', '익명게시판본문96', 9696, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID97', '익명작성자97', '익명타이틀97', '익명게시판본문97', 9797, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID98', '익명작성자98', '익명타이틀98', '익명게시판본문98', 9898, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID99', '익명작성자99', '익명타이틀99', '익명게시판본문99', 9999, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID100', '익명작성자100', '익명타이틀100', '익명게시판본문100', 100100, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID101', '익명작성자101', '익명타이틀101', '익명게시판본문101', 101101, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID102', '익명작성자102', '익명타이틀102', '익명게시판본문102', 102102, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID103', '익명작성자103', '익명타이틀103', '익명게시판본문103', 103103, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID104', '익명작성자104', '익명타이틀104', '익명게시판본문104', 104104, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID105', '익명작성자105', '익명타이틀105', '익명게시판본문105', 105105, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID106', '익명작성자106', '익명타이틀106', '익명게시판본문106', 106106, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID107', '익명작성자107', '익명타이틀107', '익명게시판본문107', 107107, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID108', '익명작성자108', '익명타이틀108', '익명게시판본문108', 108108, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID109', '익명작성자109', '익명타이틀109', '익명게시판본문109', 109109, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID110', '익명작성자110', '익명타이틀110', '익명게시판본문110', 110110, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID111', '익명작성자111', '익명타이틀111', '익명게시판본문111', 111111, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID112', '익명작성자112', '익명타이틀112', '익명게시판본문112', 112112, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID113', '익명작성자113', '익명타이틀113', '익명게시판본문113', 113113, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID114', '익명작성자114', '익명타이틀114', '익명게시판본문114', 114114, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID115', '익명작성자115', '익명타이틀115', '익명게시판본문115', 115115, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID116', '익명작성자116', '익명타이틀116', '익명게시판본문116', 116116, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID117', '익명작성자117', '익명타이틀117', '익명게시판본문117', 117117, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID118', '익명작성자118', '익명타이틀118', '익명게시판본문118', 118118, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID119', '익명작성자119', '익명타이틀119', '익명게시판본문119', 119119, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID120', '익명작성자120', '익명타이틀120', '익명게시판본문120', 120120, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID121', '익명작성자121', '익명타이틀121', '익명게시판본문121', 121121, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID122', '익명작성자122', '익명타이틀122', '익명게시판본문122', 122122, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID123', '익명작성자123', '익명타이틀123', '익명게시판본문123', 123123, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID124', '익명작성자124', '익명타이틀124', '익명게시판본문124', 124124, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID125', '익명작성자125', '익명타이틀125', '익명게시판본문125', 125125, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID126', '익명작성자126', '익명타이틀126', '익명게시판본문126', 126126, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID127', '익명작성자127', '익명타이틀127', '익명게시판본문127', 127127, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID128', '익명작성자128', '익명타이틀128', '익명게시판본문128', 128128, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID129', '익명작성자129', '익명타이틀129', '익명게시판본문129', 129129, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID130', '익명작성자130', '익명타이틀130', '익명게시판본문130', 130130, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID131', '익명작성자131', '익명타이틀131', '익명게시판본문131', 131131, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID132', '익명작성자132', '익명타이틀132', '익명게시판본문132', 132132, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID133', '익명작성자133', '익명타이틀133', '익명게시판본문133', 133133, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID134', '익명작성자134', '익명타이틀134', '익명게시판본문134', 134134, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID135', '익명작성자135', '익명타이틀135', '익명게시판본문135', 135135, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID136', '익명작성자136', '익명타이틀136', '익명게시판본문136', 136136, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID137', '익명작성자137', '익명타이틀137', '익명게시판본문137', 137137, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID138', '익명작성자138', '익명타이틀138', '익명게시판본문138', 138138, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID139', '익명작성자139', '익명타이틀139', '익명게시판본문139', 139139, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID140', '익명작성자140', '익명타이틀140', '익명게시판본문140', 140140, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID141', '익명작성자141', '익명타이틀141', '익명게시판본문141', 141141, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID142', '익명작성자142', '익명타이틀142', '익명게시판본문142', 142142, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID143', '익명작성자143', '익명타이틀143', '익명게시판본문143', 143143, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID144', '익명작성자144', '익명타이틀144', '익명게시판본문144', 144144, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID145', '익명작성자145', '익명타이틀145', '익명게시판본문145', 145145, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID146', '익명작성자146', '익명타이틀146', '익명게시판본문146', 146146, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID147', '익명작성자147', '익명타이틀147', '익명게시판본문147', 147147, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID148', '익명작성자148', '익명타이틀148', '익명게시판본문148', 148148, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID149', '익명작성자149', '익명타이틀149', '익명게시판본문149', 149149, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID150', '익명작성자150', '익명타이틀150', '익명게시판본문150', 150150, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID151', '익명작성자151', '익명타이틀151', '익명게시판본문151', 151151, 'A');
INSERT INTO board ( boardno, writerid, writer, title, content, hit, boardtype) VALUES ( board_seq.nextval, '익명ID152', '익명작성자152', '익명타이틀152', '익명게시판본문152', 152152, 'A');
